Level,PhysicalPower,MagicPower,Range,Size,Duration,AttackSpeed,Amount,,MirageDagger
28,5.722689075630247,3.4537815126050404,1.4537815126050404,1.9075630252100868,0,3.0420168067226907,2.1344537815126063,,
29,5.8235294117647,3.470588235294116,1.470588235294116,1.9411764705882382,0,3.117647058823531,2.1764705882352953,,
30,5.924369747899154,3.4873949579831915,1.4873949579831915,1.9747899159663895,0,3.1932773109243717,2.218487394957984,,
31,6.025210084033607,3.504201680672267,1.5042016806722671,2.008403361344541,0,3.2689075630252122,2.260504201680673,,
32,6.126050420168061,3.5210084033613427,1.5210084033613427,2.042016806722692,0,3.3445378151260527,2.302521008403362,,
33,6.226890756302514,3.5378151260504183,1.5378151260504183,2.075630252100843,0,3.4201680672268933,2.344537815126051,,
34,6.327731092436967,3.554621848739494,1.5546218487394938,2.1092436974789943,0,3.4957983193277338,2.38655462184874,,
35,6.428571428571421,3.5714285714285694,1.5714285714285694,2.1428571428571455,0,3.5714285714285743,2.428571428571429,,
36,6.529411764705874,3.588235294117645,1.588235294117645,2.1764705882352966,0,3.647058823529415,2.4705882352941178,,
37,6.630252100840328,3.6050420168067205,1.6050420168067205,2.2100840336134477,0,3.7226890756302553,2.5126050420168067,,
38,6.731092436974781,3.621848739495796,1.621848739495796,2.243697478991599,0,3.798319327731096,2.5546218487394956,,
39,6.8319327731092345,3.6386554621848717,1.6386554621848717,2.27731092436975,0,3.8739495798319363,2.5966386554621845,,
40,6.932773109243688,3.6554621848739473,1.6554621848739473,2.310924369747901,0,3.949579831932777,2.6386554621848735,,
41,7.033613445378141,3.672268907563023,1.6722689075630228,2.3445378151260523,0,4.025210084033617,2.6806722689075624,,
42,7.134453781512595,3.6890756302520984,1.6890756302520984,2.3781512605042034,0,4.100840336134457,2.7226890756302513,,
43,7.235294117647048,3.705882352941174,1.705882352941174,2.4117647058823546,0,4.176470588235297,2.7647058823529402,,
44,7.336134453781502,3.7226890756302495,1.7226890756302495,2.4453781512605057,0,4.252100840336137,2.806722689075629,,
45,7.436974789915955,3.739495798319325,1.739495798319325,2.478991596638657,0,4.327731092436977,2.848739495798318,,
46,7.5378151260504085,3.7563025210084007,1.7563025210084007,2.512605042016808,0,4.403361344537817,2.890756302521007,,
47,7.638655462184862,3.7731092436974762,1.7731092436974762,2.546218487394959,0,4.478991596638657,2.932773109243696,,
48,7.739495798319315,3.789915966386552,1.7899159663865518,2.5798319327731103,0,4.554621848739497,2.974789915966385,,
49,7.840336134453769,3.8067226890756274,1.8067226890756274,2.6134453781512614,0,4.6302521008403374,3.016806722689074,,
50,7.941176470588222,3.823529411764703,1.823529411764703,2.6470588235294126,0,4.7058823529411775,3.0588235294117627,,
51,8.042016806722676,3.8403361344537785,1.8403361344537785,2.6806722689075637,0,4.781512605042018,3.1008403361344516,,
52,8.14285714285713,3.857142857142854,1.857142857142854,2.714285714285715,0,4.857142857142858,3.1428571428571406,,
53,8.243697478991583,3.8739495798319297,1.8739495798319297,2.747899159663866,0,4.932773109243698,3.1848739495798295,,
54,8.344537815126037,3.8907563025210052,1.8907563025210052,2.781512605042017,0,5.008403361344538,3.2268907563025184,,
55,8.44537815126049,3.907563025210081,1.9075630252100808,2.8151260504201683,0,5.084033613445378,3.2689075630252074,,
56,8.546218487394944,3.9243697478991564,1.9243697478991564,2.8487394957983194,0,5.159663865546218,3.3109243697478963,,
57,8.647058823529397,3.941176470588232,1.941176470588232,2.8823529411764706,0,5.235294117647058,3.352941176470585,,
58,8.74789915966385,3.9579831932773075,1.9579831932773075,2.9159663865546217,0,5.310924369747898,3.394957983193274,,
59,8.848739495798304,3.974789915966383,1.974789915966383,2.949579831932773,0,5.386554621848738,3.436974789915963,,
60,8.949579831932757,3.9915966386554587,1.9915966386554587,2.983193277310924,0,5.462184873949578,3.478991596638652,,
61,9.05042016806721,4.008403361344534,2.0084033613445342,3.016806722689075,0,5.537815126050418,3.521008403361341,,
62,9.151260504201664,4.02521008403361,2.02521008403361,3.0504201680672263,0,5.613445378151258,3.56302521008403,,
63,9.252100840336118,4.042016806722685,2.0420168067226854,3.0840336134453774,0,5.689075630252098,3.6050420168067188,,
64,9.352941176470571,4.058823529411761,2.058823529411761,3.1176470588235285,0,5.7647058823529385,3.6470588235294077,,
65,9.453781512605024,4.0756302521008365,2.0756302521008365,3.1512605042016797,0,5.8403361344537785,3.6890756302520966,,
66,9.554621848739478,4.092436974789912,2.092436974789912,3.184873949579831,0,5.915966386554619,3.7310924369747855,,
67,9.655462184873931,4.109243697478988,2.1092436974789877,3.218487394957982,0,5.991596638655459,3.7731092436974745,,
68,9.756302521008385,4.126050420168063,2.1260504201680632,3.252100840336133,0,6.067226890756299,3.8151260504201634,,
69,9.857142857142838,4.142857142857139,2.142857142857139,3.2857142857142843,0,6.142857142857139,3.8571428571428523,,
70,9.957983193277292,4.159663865546214,2.1596638655462144,3.3193277310924354,0,6.218487394957979,3.8991596638655412,,
71,10.058823529411745,4.17647058823529,2.17647058823529,3.3529411764705865,0,6.294117647058819,3.94117647058823,,
72,10.159663865546198,4.1932773109243655,2.1932773109243655,3.3865546218487377,0,6.369747899159659,3.983193277310919,,
73,10.260504201680652,4.210084033613441,2.210084033613441,3.420168067226889,0,6.445378151260499,4.025210084033608,,
74,10.361344537815105,4.226890756302517,2.2268907563025166,3.45378151260504,0,6.521008403361339,4.067226890756297,,
75,10.462184873949559,4.243697478991592,2.243697478991592,3.487394957983191,0,6.596638655462179,4.109243697478986,,
76,10.563025210084012,4.260504201680668,2.260504201680668,3.5210084033613422,0,6.672268907563019,4.151260504201675,,
77,10.663865546218465,4.277310924369743,2.2773109243697434,3.5546218487394934,0,6.747899159663859,4.193277310924364,,
78,10.764705882352919,4.294117647058819,2.294117647058819,3.5882352941176445,0,6.823529411764699,4.235294117647053,,
79,10.865546218487372,4.3109243697478945,2.3109243697478945,3.6218487394957957,0,6.8991596638655395,4.277310924369742,,
80,10.966386554621826,4.32773109243697,2.32773109243697,3.655462184873947,0,6.9747899159663795,4.3193277310924305,,
81,11.06722689075628,4.344537815126046,2.3445378151260456,3.689075630252098,0,7.05042016806722,4.361344537815119,,
82,11.168067226890733,4.361344537815121,2.361344537815121,3.722689075630249,0,7.12605042016806,4.403361344537808,,
83,11.268907563025186,4.378151260504197,2.378151260504197,3.7563025210084002,0,7.2016806722689,4.445378151260497,,
84,11.36974789915964,4.394957983193272,2.3949579831932724,3.7899159663865514,0,7.27731092436974,4.487394957983186,,
85,11.470588235294093,4.411764705882348,2.411764705882348,3.8235294117647025,0,7.35294117647058,4.529411764705875,,
86,11.571428571428546,4.4285714285714235,2.4285714285714235,3.8571428571428537,0,7.42857142857142,4.571428571428564,,
87,11.672268907563,4.445378151260499,2.445378151260499,3.890756302521005,0,7.50420168067226,4.613445378151253,,
88,11.773109243697453,4.462184873949575,2.4621848739495746,3.924369747899156,0,7.5798319327731,4.655462184873942,,
89,11.873949579831907,4.47899159663865,2.47899159663865,3.957983193277307,0,7.65546218487394,4.697478991596631,,
90,11.97478991596636,4.495798319327726,2.495798319327726,3.991596638655458,0,7.73109243697478,4.73949579831932,,
91,12.075630252100813,4.512605042016801,2.5126050420168013,4.02521008403361,0,7.80672268907562,4.781512605042009,,
92,12.176470588235267,4.529411764705877,2.529411764705877,4.058823529411761,0,7.88235294117646,4.823529411764698,,
93,12.27731092436972,4.5462184873949525,2.5462184873949525,4.092436974789912,0,7.9579831932773,4.8655462184873866,,
94,12.378151260504174,4.563025210084028,2.563025210084028,4.126050420168063,0,8.03361344537814,4.9075630252100755,,
95,12.478991596638627,4.579831932773104,2.5798319327731036,4.159663865546214,0,8.10924369747898,4.949579831932764,,
96,12.57983193277308,4.596638655462179,2.596638655462179,4.1932773109243655,0,8.18487394957982,4.991596638655453,,
97,12.680672268907534,4.613445378151255,2.6134453781512548,4.226890756302517,0,8.26050420168066,5.033613445378142,,
98,12.781512605041987,4.63025210084033,2.6302521008403303,4.260504201680668,0,8.3361344537815,5.075630252100831,,
99,12.88235294117644,4.647058823529406,2.647058823529406,4.294117647058819,0,8.41176470588234,5.11764705882352,,
100,12.983193277310894,4.6638655462184815,2.6638655462184815,4.32773109243697,0,8.48739495798318,5.159663865546209,,
101,13.084033613445348,4.680672268907557,2.680672268907557,4.361344537815121,0,8.563025210084021,5.201680672268898,,
102,13.184873949579801,4.697478991596633,2.6974789915966326,4.394957983193272,0,8.638655462184861,5.243697478991587,,
103,13.285714285714255,4.714285714285708,2.714285714285708,4.4285714285714235,0,8.714285714285701,5.285714285714276,,
104,13.386554621848708,4.731092436974784,2.7310924369747838,4.462184873949575,0,8.789915966386541,5.327731092436965,,
105,13.487394957983161,4.747899159663859,2.7478991596638593,4.495798319327726,0,8.865546218487381,5.369747899159654,,
106,13.588235294117615,4.764705882352935,2.764705882352935,4.529411764705877,0,8.941176470588221,5.411764705882343,,
107,13.689075630252068,4.7815126050420105,2.7815126050420105,4.563025210084028,0,9.016806722689061,5.4537815126050315,,
108,13.789915966386522,4.798319327731086,2.798319327731086,4.596638655462179,0,9.092436974789901,5.4957983193277204,,
109,13.890756302520975,4.815126050420162,2.8151260504201616,4.63025210084033,0,9.168067226890741,5.537815126050409,,
110,13.991596638655428,4.831932773109237,2.831932773109237,4.6638655462184815,0,9.243697478991582,5.579831932773098,,
111,14.092436974789882,4.848739495798313,2.8487394957983128,4.697478991596633,0,9.319327731092422,5.621848739495787,,
112,14.193277310924335,4.865546218487388,2.8655462184873883,4.731092436974784,0,9.394957983193262,5.663865546218476,,
113,14.294117647058789,4.882352941176464,2.882352941176464,4.764705882352935,0,9.470588235294102,5.705882352941165,,
114,14.394957983193242,4.8991596638655395,2.8991596638655395,4.798319327731086,0,9.546218487394942,5.747899159663854,,
115,14.495798319327696,4.915966386554615,2.915966386554615,4.831932773109237,0,9.621848739495782,5.789915966386543,,
116,14.596638655462149,4.932773109243691,2.9327731092436906,4.865546218487388,0,9.697478991596622,5.831932773109232,,
117,14.697478991596602,4.949579831932766,2.949579831932766,4.8991596638655395,0,9.773109243697462,5.873949579831921,,
118,14.798319327731056,4.966386554621842,2.9663865546218418,4.932773109243691,0,9.848739495798302,5.91596638655461,,
119,14.89915966386551,4.983193277310917,2.9831932773109173,4.966386554621842,0,9.924369747899142,5.957983193277299,,
120,15,5,3,5,0,10,6,,
